SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
8155,18.95,103.94,122.89,30.722327344121837,68.12622134020405,891.8842779214708,11610.680233989155,0.24094906693353377,973.8282686735848
8156,46.1,107.25,153.35,38.336547868230085,69.74030114294811,917.4784174133746,12143.367447284218,0.2450989915917316,973.9579400403657
8157,37.94,108.84,146.78,36.696113415279896,69.1062785867557,908.8246251386336,11952.52587164558,0.24398076964502416,976.60993979082
8158,39.66,107.12,146.78,36.696113415279896,69.1062785867557,906.9843840280581,11930.091448879037,0.24330271348690277,972.9960480418392
8159,43.5,107.17,150.67,37.66832784212457,69.2867921027499,906.825817404595,11928.822996275812,0.24323278443172883,972.5739863901553
8160,39.62,107.16,146.78,36.696113415279896,69.1062785867557,907.4435316334461,11935.147506269712,0.243477676100121,973.9550174057191
8161,56.99,106.54,163.53,40.881673631857915,67.92914895886969,963.2340987639293,12366.562258392718,0.26873116917602075,1128.5233230684619
8162,58.48,105.05,163.53,40.881673631857915,67.92914895886969,948.1397468263232,12200.061205277498,0.26298575395923995,1097.0586643530246
8163,35.78,104.0,139.78,34.943786158334646,65.41486310417098,940.4514350630468,12112.167110108508,0.2601235806469956,1081.6453379712952
8164,48.84,100.55,149.39,37.348561834264984,76.25637134287588,907.7110841565653,11748.627805834396,0.2477116940637147,1013.8758106241626
8165,56.11,107.26,163.37,40.84348084192267,67.92914895886969,970.2637025410417,12444.205718115238,0.2714047987095549,1143.1569554809796
8166,56.49,106.64,163.13,40.782801058113066,67.87163316378039,963.2473757348228,12366.905190926409,0.26873337204105113,1128.5233230684619
8167,8.6,106.34,114.94,28.73427591658475,62.68530883529936,934.3561221440558,11767.359328635353,0.26406633599584217,1128.5233230684619
8168,57.06,106.47,163.53,40.881673631857915,67.92914895886969,963.2297203067736,12366.42660835504,0.26873042326665464,1128.5233230684619
8169,58.64,104.89,163.53,40.881673631857915,67.92914895886969,946.4010716565497,12180.894415299637,0.26232373041318263,1093.4321781662668
8170,62.68,106.47,169.15,42.28802128703098,68.48192968093346,961.4070672795106,12346.860623281187,0.2680272411452215,1124.6333681334308
8171,0.39,96.52,96.91,24.227908510247232,70.42298200816148,840.7239630702869,10729.464073493462,0.2285310423805839,934.3393473157266
8172,14.59,98.37,112.96,28.24120919280322,72.2333255123384,857.2734540526684,10913.840690319434,0.23479307533293078,968.4814644969268
8173,-0.64,101.85,101.21,25.3034534939789,61.100194486909075,890.491101749756,11281.657585742358,0.2474084290644172,1037.4534287220495
8174,0.55,96.51,97.06,24.266101300182477,70.42298200816148,840.7174851672846,10729.32936901788,0.22852978940479082,934.3374567612176
8175,1.73,96.44,98.17,24.54241174799055,70.57571396455751,840.734979544396,10729.515960207173,0.22853560519932303,934.3662484461163
8176,34.54,96.63,131.17,32.79160899414477,74.23796941415597,869.3662553484761,11323.698115546886,0.2331581114544835,934.342785026935
8177,0.33,96.58,96.91,24.227908510247232,70.42298200816148,840.7354527214285,10729.676935668853,0.22853450800382313,934.3542992604612
8178,-0.26,97.17,96.91,24.227908510247232,70.42298200816148,847.2424457952856,10801.35791733714,0.23101236626560556,947.9289777797012
8179,8.0,85.75,93.75,23.438483372455288,70.12267158634674,732.4321697797781,9534.7559603618,0.18731460555369484,708.6309052006329
8180,0.39,96.52,96.91,24.227908510247232,70.42298200816148,840.7252797101488,10729.47859693405,0.22853154353775373,934.3420918935715
8181,119.4,137.67,257.07,64.26776976626326,71.78674806868094,1168.2677603537443,14393.444818550928,0.35220888550366075,1607.5826786398197
8182,119.4,137.67,257.07,64.26776976626326,71.78674806868094,1168.2677603537443,14393.444818550928,0.35220888550366075,1607.5826786398197
8183,102.15,134.33,236.48,59.12025689652795,70.03074440804073,1140.03526965455,14078.642836305102,0.34152911970105265,1549.3669025917707
8184,120.18,134.31,254.49,63.622649326035216,73.12142802845763,1137.3806403366564,14050.718082092939,0.3404924311835929,1543.581989089803
8185,119.9,137.33,257.23,64.30775775897011,71.78674806868094,1165.038373622424,14357.69509238211,0.3509822371623964,1600.8754234149087
8186,163.42,143.84,307.26,76.81546583014334,72.61839383791784,1169.7474886202879,14428.20457959687,0.35245871971158466,1607.6496387325503
8187,286.47,139.58,426.05,106.51293941237768,86.48622751522126,1220.4299033064583,15476.88512146928,0.3606359012574856,1607.5826786398197
8188,118.38,138.69,257.07,64.26776976626326,71.78674806868094,1168.431073073575,14396.640913655549,0.35225634854615234,1607.7773899916237
8189,118.86,138.21,257.07,64.26776976626326,71.78674806868094,1173.8093362208194,14454.551945354797,0.3543185769118257,1619.1379336767927
8190,118.63,138.51,257.14,64.28589770668569,71.9220855198102,1175.6556553300725,14475.373758263046,0.35501284532272576,1622.9051312539443
8191,295.84,141.69,437.53,109.38225977825633,85.57548651840226,1173.7925236169656,15016.103764714342,0.3417939063929026,1499.9508805277649
8192,337.96,145.62,483.58,120.895640478477,88.80437416258678,1200.459907021056,15317.630088103637,0.35180067514592217,1554.1645941610855
8193,307.16,145.19,452.35,113.08745302970883,85.05191560528712,1203.0399756370775,15343.54650371497,0.3528284474741232,1559.981816748699
8194,295.43,141.94,437.37,109.34227178554946,85.57548651840226,1176.0761701386675,15041.554398784818,0.3426576018129233,1504.658418984961
8195,243.14,134.59,377.73,94.43361382291914,84.22071339902206,1168.0225662258295,14891.3676614873,0.3408575281626322,1499.9508805277649
8196,111.43,138.19,249.62,62.404435227349516,70.6546628782298,1117.1920211371028,13839.4575103295,0.33264897658652903,1499.9508805277649
8197,297.75,139.78,437.53,109.38225977825633,85.57548651840226,1173.659371931395,15011.978560213673,0.3417712228114837,1499.9508805277649
8198,295.84,141.69,437.53,109.38225977825633,85.57548651840226,1173.683776279929,15014.997673118109,0.34175058471656916,1499.7057797746127
8199,351.34,142.28,493.62,123.40575058561618,88.04505651507151,1170.3154081089926,14985.294971391384,0.340316933979251,1491.2367828502902
8200,295.84,141.69,437.53,109.38225977825633,85.57548651840226,1173.7925236169656,15016.103764714342,0.3417939063929026,1499.9508805277649
8201,28.01,102.51,130.52,32.62927057251791,67.58975515985853,893.6390513062139,11550.141447148213,0.24337918863323524,994.2656455339574
8202,28.01,102.51,130.52,32.62927057251791,67.58975515985853,893.6388171784826,11550.13886455878,0.24337909951638972,994.2651574872235
8203,258.43,124.67,383.1,95.77594854131561,89.44680846480588,1073.112798630151,13562.25410696636,0.3110403729572428,1362.1488925537533
8204,35.2,110.81,146.01,36.50193436905538,59.334214060410204,970.8226176027096,12408.310921185108,0.2726170312643215,1153.813382331595
8205,27.79,102.53,130.32,32.57922516262678,67.58975515985853,893.6541958308175,11550.45896875632,0.2433818142376843,994.2672619070884
