SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
16514,9.89,102.84,112.73,28.181733205847223,67.28964182659834,889.4757920889241,11252.298520447486,0.2474466771134509,1039.372366712379
16515,21.93,102.43,124.36,31.089842640188223,68.6812398792182,892.2207421401253,11282.079163059407,0.24849142439829255,1045.0975737045135
16516,9.51,103.1,112.61,28.151809360406233,67.29063333732604,891.9653446356463,11279.85564391555,0.24839237229018313,1044.543643663318
16517,7.53,105.07,112.6,28.14957924789399,67.28964182659834,892.6874268348558,11290.431298011192,0.2486400387136054,1045.779129785049
16518,16.18,96.42,112.6,28.14957924789399,67.28964182659834,824.3780540026327,10534.28594394913,0.22266717221007248,903.6632369430395
16519,9.5,103.1,112.6,28.14957924789399,67.28964182659834,891.9624886166293,11279.796380194546,0.24839191063540675,1044.5436408920093
16520,9.5,103.1,112.6,28.14957924789399,67.28964182659834,891.9624886166293,11279.796380194546,0.24839191063540675,1044.5436408920093
16521,8.27,117.94,126.21,31.55360039192388,56.87450016717419,1014.2260095674837,12637.514163846176,0.29477168852289587,1297.8881107144778
16522,8.27,117.94,126.21,31.55360039192388,56.87450016717419,1014.227493198047,12637.530529308719,0.2947722532423121,1297.891203389773
16523,-27.66,106.94,79.28,19.81958635340197,51.47142835570784,916.7282819920207,11553.657306470217,0.2578263256037852,1096.234171970483
16524,22.8,100.44,123.24,30.808751410720582,66.10531115025606,843.9130462946008,10753.88275237384,0.23004530727791497,943.8248120191913
16525,8.71,117.64,126.35,31.58788121984684,56.87450016717419,1011.2536567385009,12604.667768004932,0.2936414981423937,1291.7034878437876
16526,10.53,116.99,127.52,31.880953635559493,56.97263520880495,1014.2221596410025,12635.609742748085,0.2947962028564345,1298.1328680127328
16527,8.34,117.94,126.28,31.570568897231155,56.88198406888574,1014.2439130653717,12637.885975246038,0.2947745815538298,1297.888117061318
16528,7.48,118.73,126.21,31.55360039192388,56.87450016717419,1014.4505205137214,12641.055810445789,0.29484591858813985,1298.244820222706
16529,8.38,117.83,126.21,31.55360039192388,56.87450016717419,1013.0919232528944,12625.012954391215,0.29433986239194626,1295.5225842013672
16530,11.31,118.24,129.55,32.386379083889366,57.19529832472777,1016.3235845609485,12660.95294873634,0.29556480088233594,1302.2096734208553
16531,-16.13,99.91,83.78,20.94613651355128,61.56463129923095,849.1976561926793,10805.825910859017,0.232181539253681,956.0339332591666
16532,24.59,106.99,131.58,32.89408002261854,66.92689849580519,911.5476112033259,11499.998140646032,0.25578565414631155,1084.7774796378353
16533,-24.24,107.08,82.84,20.70967031405086,51.83224750225506,919.5552249039347,11584.565818017694,0.2589061924034663,1102.1643627395638
16534,-16.36,100.01,83.65,20.911855685628325,61.56463129923095,850.0928988104947,10815.73592135145,0.2325215869484407,957.8932987821138
16535,-22.26,100.83,78.57,19.64327146704624,60.96829157466075,849.2100017460949,10807.205321948686,0.23217350348675841,955.9331457611472
16536,-16.16,99.91,83.75,20.936895415991984,61.560338538836874,849.1813968544018,10805.477785767926,0.23217915280067974,956.0362176454906
16537,-15.46,99.24,83.78,20.94613651355128,61.56463129923095,849.0599415564858,10803.389345880976,0.23213879047567523,955.8427253154974
16538,-16.38,100.16,83.78,20.94613651355128,61.56463129923095,851.7133559975063,10833.56444486415,0.2331393316398343,961.2802138016963
16539,-4.2,87.56,83.36,20.83987895214966,61.52729783697468,725.0006003896077,9435.722314940107,0.18490989057706694,697.1596460440809
16540,-16.13,99.91,83.78,20.94613651355128,61.56463129923095,849.1987520676241,10805.837999111176,0.23218195638033937,956.0362176454906
16541,37.09,112.51,149.6,37.399768488883026,68.55909090424413,978.4966648960793,12239.525094049659,0.28122734652342335,1223.9477786319455
16542,37.7,111.9,149.6,37.399768488883026,68.55909090424413,972.3638903649999,12171.876385303247,0.27889300741051554,1211.1638142460079
16543,37.09,112.51,149.6,37.399768488883026,68.55909090424413,978.4966648960793,12239.525094049659,0.28122734652342335,1223.9477786319455
16544,32.12,122.34,154.46,38.61407131393808,61.406411303108044,1068.6874627299346,13239.690147840094,0.31545315115635836,1410.9600472847371
16545,36.18,113.28,149.46,37.36573695297773,68.55909090424413,986.0780945269735,12323.232293193068,0.2841115736188746,1239.7369719653732
16546,56.13,114.04,170.17,42.543685563700016,68.51193702762794,978.8300755656143,12247.823836694075,0.2812754844143651,1223.8844533113963
16547,37.1,112.51,149.61,37.40311162578083,68.56051369995849,978.4998529700297,12239.591279599339,0.2812278615420809,1223.9477786319455
16548,35.96,113.64,149.6,37.399768488883026,68.55909090424413,978.6511257344218,12242.773605371709,0.2812698586595101,1224.1083591014105
16549,37.09,112.51,149.6,37.399768488883026,68.55909090424413,978.4966648960793,12239.525094049659,0.28122734652342335,1223.9477786319455
16550,36.35,112.7,149.05,37.26283303228544,68.48667950896302,981.1118055745744,12268.426061619502,0.28222033969560617,1229.3765477282745
16551,38.56,126.0,164.56,41.13951309631568,60.78532973526649,1077.6941038926984,13344.953619324373,0.31879482137651693,1428.8947519244416
16552,39.39,125.17,164.56,41.13951309631568,60.78532973526649,1069.3170488942287,13252.548957963965,0.3156062340520021,1411.43251322371
16553,40.65,115.27,155.92,38.98108813690388,67.73569047799666,979.0394869168708,12250.66984812458,0.2813631558217927,1224.389707200327
16554,39.91,124.78,164.69,41.17354463222097,60.78532973526649,1065.5675027680425,13211.087883798578,0.31418100948258787,1403.6353893657197
16555,30.08,123.34,153.42,38.35411904199333,61.28795621894309,1069.0053054264533,13244.775607285981,0.3155547510835457,1411.43251322371
16556,39.37,125.17,164.54,41.13507310515101,60.783631399947026,1069.3137661019334,13252.480723887093,0.31560570366120166,1411.43251322371
16557,40.85,123.71,164.56,41.13951309631568,60.78532973526649,1069.2159149678437,13249.415703386629,0.31558900498243725,1411.43251322371
16558,39.39,125.17,164.56,41.13951309631568,60.78532973526649,1069.3170488942287,13252.548957963965,0.3156062340520021,1411.43251322371
16559,56.06,125.6,181.66,45.41542705098223,61.812850032062336,1068.5634585051428,13246.78609122513,0.3152705895883533,1409.3942701032033
16560,39.39,125.17,164.56,41.13951309631568,60.78532973526649,1069.3170488942287,13252.548957963965,0.3156062340520021,1411.43251322371
16561,32.5,107.36,139.86,34.96434647082397,70.82901183603995,883.5618281119279,11196.715990231303,0.24506382927760564,1025.7605183842677
16562,32.5,107.36,139.86,34.96434647082397,70.82901183603995,883.560618015929,11196.702642042586,0.24506336867459366,1025.7579959005095
16563,-14.7,91.01,76.31,19.076737082735782,63.76069292524619,733.9957744711722,9538.263375568024,0.1883016022542898,715.5895200746975
16564,21.02,126.43,147.45,36.86227312025328,59.907867617226294,1067.2600427973732,13230.09770765724,0.3148419382907586,1407.3138118110114
16565,33.77,106.11,139.88,34.96972161608721,70.82901183603995,870.9344028964359,11057.417056496579,0.24025760980180455,999.4401655901797
16566,30.22,108.08,138.3,34.57508728217358,70.44828117699453,884.5545757227466,11208.517107529788,0.24543277766852428,1027.741430858091
